Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,2.259685912146419e6,1318.2459103909089,0.19568049539832014
NaturalGas_CTAvgCF_Moderate,1,463968.4273858343,724.5081030866836,0.07310398893308742
NaturalGas_CCCCSAvgCF_Moderate,1,4.081356812320743e7,7308.833043603433,0.6374592347769056
NaturalGas_CCS100_Moderate,1,3.3651303965598345e-11,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.1605411224795391e6,587.7493223401592,0.22540538672042454
UtilityPV_Class1_Moderate_100_0.2,1,6.155326577991682e7,24637.319601549774,0.28520263678550223
Liion_Moderate,1,1.2188027536611125e7,9544.388267552844,0.0
TEGS,1,3.357264062027264e6,22206.002692055106,0.0
