Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,6.6703361413143426e7,10071.676062905713,0.7560349366425423
NaturalGas_CTAvgCF_Moderate,1,1.308219071646725e6,2497.980555099087,0.0597843231273979
NaturalGas_CCCCSAvgCF_Moderate,1,-9.081096399620352e-12,0.0,0.0
NaturalGas_CCS100_Moderate,1,9.960494935512542e-12,0.0,0.0
NENGREST_nuclear_1,1,9.20194639440845e-12,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,0.0,0.0,0.0
UtilityPV_Class1_Moderate_100_0.2,1,2.9955043018809184e7,12008.261102429322,0.2847644158966853
Liion_Moderate,1,5.370743976678788e6,4799.085959372167,0.0
TEGS,1,0.0,0.0,0.0
