Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,3.71268645763268e7,4580.256708582397,0.9253251115526971
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,108190.79408760818,221.25534434019428,0.055820334225622804
NaturalGas_CTAvgCF_Moderate,1,132789.24122472288,663.076989308509,0.02286097907983898
NaturalGas_CCCCSAvgCF_Moderate,1,4.0659433833336155e6,2076.3652430300385,0.2235390857219564
NaturalGas_CCS100_Moderate,1,1.4244010993173124e7,2716.758197098338,0.598517988802025
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.9896427126870945e6,1010.0931921209672,0.22485862227408673
UtilityPV_Class1_Moderate_100_0.2,1,4.358532838037456e7,17450.56516122744,0.28511936784738073
Liion_Moderate,1,1.2251318780045269e7,10067.732126004767,0.0
TEGS,1,499333.23314759147,11945.936966947787,0.0
